State 1,State 2,Neighborhood,Poverty
Bronx 1,Bronx 2,Hunts Point,31.5
Bronx 1,Bronx 2,Longwood,31.5
Bronx 1,Bronx 2,Melrose,31.5
Bronx 3,Bronx 6,Belmont,30.9
Bronx 3,Bronx 6,Crotona Park East,30.9
Bronx 3,Bronx 6,East Tremont,30.9
Bronx 4,,Concourse,33.6
Bronx 4,,Highbridge,33.6
Bronx 4,,Mount Eden,33.6
Bronx 5,,Morris Heights,35.4
Bronx 5,,Fordham South,35.4
Bronx 5,,Mount Hope,35.4
Bronx 7,,Bedford Park,28.7
Bronx 7,,Fordham North,28.7
Bronx 7,,Norwood,28.7
Bronx 8,,Riverdale,18.6
Bronx 8,,Fieldston,18.6
Bronx 8,,Kingsbridge,18.6
Bronx 9,,Castle Hill,29.0
Bronx 9,,Clason Point,29.0
Bronx 9,,Parkchester,29.0
Bronx 10,,Co-op City,15.8
Bronx 10,,Pelham Bay,15.8
Bronx 10,,Schuylerville,15.8
Bronx 11,,Pelham Parkway,19.9
Bronx 11,,Morris Park,19.9
Bronx 11,,Laconia,19.9
Bronx 12,,Wakefield,21.9
Bronx 12,,Willamsbridge,21.9
Bronx 12,,Woodlawn,21.9
Brooklyn 1,,Greenpoint,16.2
Brooklyn 1,,Williamsburg,16.2
Brooklyn 2,,Brooklyn Heights,12.3
Brooklyn 2,,Fort Greene,12.3
Brooklyn 3,,Bedford-Stuyvesant,21.2
Brooklyn 4,,Bushwick,25.0
Brooklyn 5,,East New York,27.7
Brooklyn 5,,Starrett City,27.7
Brooklyn 6,,Park Slope,9.5
Brooklyn 6,,Carroll Gardens,9.5
Brooklyn 6,,Red Hook,9.5
Brooklyn 7,,Sunset Park,23.3
Brooklyn 7,,Windsor Terrace,23.3
Brooklyn 8,,Crown Heights North,20.5
Brooklyn 8,,Prospect Heights,20.5
Brooklyn 9,,Crown Heights So,20.5
Brooklyn 9,,Prospect Lefferts,20.5
Brooklyn 9,,Wingate,20.5
Brooklyn 10,,Bay Ridge,16.7
Brooklyn 10,,Dyker Heights,16.7
Brooklyn 11,,Bensonhurst,23.0
Brooklyn 11,,Bath Beach,23.0
Brooklyn 12,,Borough Park,26.9
Brooklyn 12,,Kensington,26.9
Brooklyn 12,,Ocean Parkway,26.9
Brooklyn 13,,Brighton Beach,24.4
Brooklyn 13,,Coney Island,24.4
Brooklyn 14,,Flatbush,19.4
Brooklyn 14,,Midwood,19.4
Brooklyn 15,,Sheepshead Bay,16.5
Brooklyn 15,,Gerritsen Beach,16.5
Brooklyn 15,,Homecrest,16.5
Brooklyn 16,,Brownsville,28.5
Brooklyn 16,,Ocean Hill,28.5
Brooklyn 17,,East Flatbush,16.3
Brooklyn 17,,Farragut,16.3
Brooklyn 17,,Rugby,16.3
Brooklyn 18,,Canarsie,13.9
Brooklyn 18,,Flatlands,13.9
Manhattan 1,Manhattan 2,Battery Park City,7.6
Manhattan 1,Manhattan 2,Greenwich Village,7.6
Manhattan 1,Manhattan 2,Soho,7.6
Manhattan 3,,Chinatown,22.0
Manhattan 3,,Lower East Side,22.0
Manhattan 4,Manhattan 5,Chelsea,11.2
Manhattan 4,Manhattan 5,Clinton,11.2
Manhattan 4,Manhattan 5,Midtown Business District,11.2
Manhattan 6,,Murray Hill,8.7
Manhattan 6,,Gramercy,8.7
Manhattan 6,,Stuyvesant Town,8.7
Manhattan 7,,Upper West Side,9.5
Manhattan 7,,West Side,9.5
Manhattan 8,,Upper East Side,6.1
Manhattan 9,,Hamilton Hts,19.9
Manhattan 9,,Manhattanville,19.9
Manhattan 9,,West Harlem,19.9
Manhattan 10,,Central Harlem,20.5
Manhattan 11,,East Harlem,23.4
Manhattan 12,,Washington Heights,18.2
Manhattan 12,,Inwood,18.2
Manhattan 12,,Marble Hill,18.2
Queens 1,,Astoria,16.1
Queens 1,,Long Island City,16.1
Queens 2,,Sunnyside,14.3
Queens 2,,Woodside,14.3
Queens 3,,Jackson Heights,22.3
Queens 3,,North Corona,22.3
Queens 4,,Elmhurst,20.7
Queens 4,,South Corona,20.7
Queens 5,,Ridgewood,15.4
Queens 5,,Glendale,15.4
Queens 5,,Middle Village,15.4
Queens 6,,Forest Hills,13.6
Queens 6,,Rego Park,13.6
Queens 7,,Flushing,23.7
Queens 7,,Murray Hill,23.7
Queens 7,,Whitestone,23.7
Queens 8,,Briarwood,18.2
Queens 8,,Fresh Meadows,18.2
Queens 8,,Hillcrest,18.2
Queens 9,,Richmond Hill,19.2
Queens 9,,Woodhaven,19.2
Queens 10,,Howard Beach,15.0
Queens 10,,Ozone Park,15.0
Queens 11,,Bayside,13.1
Queens 11,,Douglaston,13.1
Queens 11,,Little Neck,13.1
Queens 12,,Jamaica,16.9
Queens 12,,Hollis,16.9
Queens 12,,St Albans,16.9
Queens 13,,Queens Village,10.7
Queens 13,,Cambria Heights,10.7
Queens 13,,Rosedale,10.7
Queens 14,,Far Rockaway,17.2
Queens 14,,Breezy Point,17.2
Queens 14,,Broad Channel,17.2
Staten Island 1,,Port Richmond,19.7
Staten Island 1,,Stapleton,19.7
Staten Island 1,,Mariner's Harbor,19.7
Staten Island 2,,New Springville,12.2
Staten Island 2,,South Beach,12.2
Staten Island 3,,Tottenville,11.5
Staten Island 3,,Great Kills,11.5
Staten Island 3,,Annadale,11.5
